node03b3c753299e86e66647c895992d2f1.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un50js7000---0.35714285714285715
Predicted Answer:sony xbr43x830c---0.35714285714285715
Predicted Answer:samsung un55hu6840---0.5
Predicted Answer:samsung un55j6200a---0.21428571428571427
Predicted Answer:samsung un40eh5300---0.14285714285714285
Predicted Answer:samsung un55hu8500---0.5714285714285714
Predicted Answer:sony xbr65x810c---0.35714285714285715
Predicted Answer:sony xbr65x850a---0.42857142857142855
Predicted Answer:sony xbr49x830c---0.35714285714285715
Predicted Answer:lg 49uf6400---0.5
Predicted Answer:sony xbr65x850c---0.42857142857142855
Predicted Answer:sony xbr70x850b---0.42857142857142855
Predicted Answer:lg 40lf6300---0.21428571428571427
Predicted Answer:sony xbr55x900c---0.5
Predicted Answer:gpx tde3253b---0.07142857142857142
Predicted Answer:samsung un65h7150---0.21428571428571427
Predicted Answer:samsung un65ju7100---0.35714285714285715
Predicted Answer:vizio d50u-d1---0.42857142857142855
node108b88c6d1fbf74ebab5edf59c9d413a.html
Right Answer:accessory_d43-c1
Predicted Answer:samsung un55ju7100f---0.18181818181818182
Predicted Answer:vizio d48-d0---0.18181818181818182
Predicted Answer:samsung un60eh6003---0.18181818181818182
Predicted Answer:samsung un60ju7100---0.2727272727272727
Predicted Answer:sony xbr65x930c---0.09090909090909091
Predicted Answer:samsung un50ju7100---0.18181818181818182
Predicted Answer:sony xbr65x930d---0.09090909090909091
Predicted Answer:sony xbr65x950b---0.2727272727272727
Predicted Answer:vizio d43-c1---0.5454545454545454
Predicted Answer:samsung un55ju6500---0.0
Predicted Answer:gpx te1384b---0.0
Predicted Answer:sony xbr55x800b---0.09090909090909091
Predicted Answer:gpx tde1380b---0.09090909090909091
Predicted Answer:samsung un32eh5300---0.09090909090909091
Predicted Answer:samsung un40ju6400---0.18181818181818182
Predicted Answer:lg 43uf6400---0.09090909090909091
Predicted Answer:gpx tde1384b---0.09090909090909091
Predicted Answer:lg 55eg9100---0.09090909090909091
Predicted Answer:samsung un50eh5300---0.18181818181818182
Predicted Answer:samsung un65h6350---0.09090909090909091
Predicted Answer:samsung un50j5200a---0.0
Predicted Answer:sony xbr65x800b---0.18181818181818182
Predicted Answer:samsung un60js7000---0.09090909090909091
Predicted Answer:samsung un55js8500f---0.09090909090909091
Predicted Answer:vizio d43-d2---0.2727272727272727
Predicted Answer:sony xbr65x900b---0.18181818181818182
Predicted Answer:sony xbr65x900c---0.18181818181818182
Predicted Answer:samsung un48ju6400---0.18181818181818182
Predicted Answer:sony xbr65hx929---0.09090909090909091
Predicted Answer:sony xbr55x850d---0.18181818181818182
Predicted Answer:sony xbr55x850c---0.0
Predicted Answer:samsung un55js9000f---0.0
Predicted Answer:sony xbr55x850b---0.0
Predicted Answer:samsung un60j6200a---0.09090909090909091
Predicted Answer:samsung un40es6100---0.18181818181818182
Predicted Answer:samsung un50j6300---0.09090909090909091
Predicted Answer:lg 55eg9600---0.18181818181818182
Predicted Answer:sony xbr79x900b---0.2727272727272727
Predicted Answer:gpx tde1982b---0.18181818181818182
Predicted Answer:lg 65eg9600---0.18181818181818182
Predicted Answer:sony xbr55x810c---0.0
Predicted Answer:samsung un40ju6700---0.0
Predicted Answer:samsung un50js7000---0.0
Predicted Answer:sony xbr43x830c---0.2727272727272727
Predicted Answer:samsung un55hu6840---0.18181818181818182
Predicted Answer:samsung un55j6200a---0.09090909090909091
Predicted Answer:samsung un40eh5300---0.18181818181818182
Predicted Answer:samsung un55hu8500---0.0
Predicted Answer:sony xbr65x810c---0.0
Predicted Answer:sony xbr65x850a---0.2727272727272727
Predicted Answer:sony xbr49x830c---0.2727272727272727
Predicted Answer:lg 49uf6400---0.09090909090909091
Predicted Answer:sony xbr65x850c---0.36363636363636365
Predicted Answer:sony xbr70x850b---0.18181818181818182
Predicted Answer:lg 40lf6300---0.09090909090909091
Predicted Answer:sony xbr55x900c---0.09090909090909091
Predicted Answer:gpx tde3253b---0.09090909090909091
Predicted Answer:samsung un65h7150---0.09090909090909091
Predicted Answer:samsung un65ju7100---0.18181818181818182
Predicted Answer:vizio d50u-d1---0.36363636363636365
node1092578679cacf1eb542fc386a706df8.html
Right Answer:sony xbr75x850c
Predicted Answer:samsung un55ju7100f---0.35714285714285715
Predicted Answer:vizio d48-d0---0.14285714285714285
Predicted Answer:samsung un60eh6003---0.2857142857142857
Predicted Answer:samsung un60ju7100---0.42857142857142855
Predicted Answer:sony xbr65x930c---0.42857142857142855
Predicted Answer:samsung un50ju7100---0.42857142857142855
Predicted Answer:sony xbr65x930d---0.42857142857142855
Predicted Answer:sony xbr65x950b---0.5
Predicted Answer:vizio d43-c1---0.21428571428571427
Predicted Answer:samsung un55ju6500---0.2857142857142857
Predicted Answer:gpx te1384b---0.14285714285714285
Predicted Answer:sony xbr55x800b---0.35714285714285715
Predicted Answer:gpx tde1380b---0.14285714285714285
Predicted Answer:samsung un32eh5300---0.14285714285714285
Predicted Answer:samsung un40ju6400---0.35714285714285715
Predicted Answer:lg 43uf6400---0.2857142857142857
Predicted Answer:gpx tde1384b---0.14285714285714285
Predicted Answer:lg 55eg9100---0.21428571428571427
Predicted Answer:samsung un50eh5300---0.21428571428571427
Predicted Answer:samsung un65h6350---0.14285714285714285
Predicted Answer:samsung un50j5200a---0.14285714285714285
Predicted Answer:sony xbr65x800b---0.35714285714285715
Predicted Answer:samsung un60js7000---0.21428571428571427
Predicted Answer:samsung un55js8500f---0.35714285714285715
Predicted Answer:vizio d43-d2---0.14285714285714285
Predicted Answer:sony xbr65x900b---0.42857142857142855
Predicted Answer:sony xbr65x900c---0.42857142857142855
Predicted Answer:samsung un48ju6400---0.35714285714285715
Predicted Answer:sony xbr65hx929---0.2857142857142857
Predicted Answer:sony xbr55x850d---0.42857142857142855
Predicted Answer:sony xbr55x850c---0.21428571428571427
Predicted Answer:samsung un55js9000f---0.35714285714285715
Predicted Answer:sony xbr55x850b---0.21428571428571427
Predicted Answer:samsung un60j6200a---0.14285714285714285
Predicted Answer:samsung un40es6100---0.21428571428571427
Predicted Answer:samsung un50j6300---0.14285714285714285
Predicted Answer:lg 55eg9600---0.21428571428571427
Predicted Answer:sony xbr79x900b---0.5
Predicted Answer:gpx tde1982b---0.2857142857142857
Predicted Answer:lg 65eg9600---0.14285714285714285
Predicted Answer:sony xbr55x810c---0.35714285714285715
Predicted Answer:samsung un40ju6700---0.2857142857142857
Predicted Answer:samsung un50js7000---0.2857142857142857
Predicted Answer:sony xbr43x830c---0.5
Predicted Answer:samsung un55hu6840---0.35714285714285715
Predicted Answer:samsung un55j6200a---0.14285714285714285
Predicted Answer:samsung un40eh5300---0.21428571428571427
Predicted Answer:samsung un55hu8500---0.42857142857142855
Predicted Answer:sony xbr65x810c---0.35714285714285715
Predicted Answer:sony xbr65x850a---0.5714285714285714
Predicted Answer:sony xbr49x830c---0.5
Predicted Answer:lg 49uf6400---0.2857142857142857
Predicted Answer:sony xbr65x850c---0.6428571428571429
Predicted Answer:sony xbr70x850b---0.42857142857142855
Predicted Answer:lg 40lf6300---0.14285714285714285
Predicted Answer:sony xbr55x900c---0.35714285714285715
Predicted Answer:gpx tde3253b---0.14285714285714285
Predicted Answer:samsung un65h7150---0.21428571428571427
Predicted Answer:samsung un65ju7100---0.35714285714285715
Predicted Answer:vizio d50u-d1---0.2857142857142857
node1184e9c57e1320c817cb1367146.html
Right Answer:vizio d43-c1
Predicted Answer:samsung un55ju7100f---0.1111111111111111
Predicted Answer:vizio d48-d0---0.4444444444444444
Predicted Answer:samsung un60eh6003---0.4444444444444444
Predicted Answer:samsung un60ju7100---0.1111111111111111
Predicted Answer:sony xbr65x930c---0.1111111111111111
Predicted Answer:samsung un50ju7100---0.1111111111111111
Predicted Answer:sony xbr65x930d---0.1111111111111111
Predicted Answer:sony xbr65x950b---0.2222222222222222
Predicted Answer:vizio d43-c1---0.7777777777777778
Predicted Answer:samsung un55ju6500---0.1111111111111111
Predicted Answer:gpx te1384b---0.1111111111111111
Predicted Answer:sony xbr55x800b---0.1111111111111111
Predicted Answer:gpx tde1380b---0.2222222222222222
Predicted Answer:samsung un32eh5300---0.3333333333333333
Predicted Answer:samsung un40ju6400---0.1111111111111111
Predicted Answer:lg 43uf6400---0.3333333333333333
Predicted Answer:gpx tde1384b---0.2222222222222222
Predicted Answer:lg 55eg9100---0.2222222222222222
Predicted Answer:samsung un50eh5300---0.2222222222222222
Predicted Answer:samsung un65h6350---0.2222222222222222
Predicted Answer:samsung un50j5200a---0.2222222222222222
Predicted Answer:sony xbr65x800b---0.1111111111111111
Predicted Answer:samsung un60js7000---0.1111111111111111
Predicted Answer:samsung un55js8500f---0.1111111111111111
Predicted Answer:vizio d43-d2---0.6666666666666666
Predicted Answer:sony xbr65x900b---0.2222222222222222
Predicted Answer:sony xbr65x900c---0.1111111111111111
Predicted Answer:samsung un48ju6400---0.1111111111111111
Predicted Answer:sony xbr65hx929---0.3333333333333333
Predicted Answer:sony xbr55x850d---0.1111111111111111
Predicted Answer:sony xbr55x850c---0.1111111111111111
Predicted Answer:samsung un55js9000f---0.1111111111111111
Predicted Answer:sony xbr55x850b---0.1111111111111111
Predicted Answer:samsung un60j6200a---0.2222222222222222
Predicted Answer:samsung un40es6100---0.2222222222222222
Predicted Answer:samsung un50j6300---0.2222222222222222
Predicted Answer:lg 55eg9600---0.0
Predicted Answer:sony xbr79x900b---0.2222222222222222
Predicted Answer:gpx tde1982b---0.3333333333333333
Predicted Answer:lg 65eg9600---0.1111111111111111
Predicted Answer:sony xbr55x810c---0.1111111111111111
Predicted Answer:samsung un40ju6700---0.1111111111111111
Predicted Answer:samsung un50js7000---0.1111111111111111
Predicted Answer:sony xbr43x830c---0.2222222222222222
Predicted Answer:samsung un55hu6840---0.1111111111111111
Predicted Answer:samsung un55j6200a---0.2222222222222222
Predicted Answer:samsung un40eh5300---0.2222222222222222
Predicted Answer:samsung un55hu8500---0.1111111111111111
Predicted Answer:sony xbr65x810c---0.1111111111111111
Predicted Answer:sony xbr65x850a---0.1111111111111111
Predicted Answer:sony xbr49x830c---0.2222222222222222
Predicted Answer:lg 49uf6400---0.2222222222222222
Predicted Answer:sony xbr65x850c---0.1111111111111111
Predicted Answer:sony xbr70x850b---0.1111111111111111
Predicted Answer:lg 40lf6300---0.3333333333333333
Predicted Answer:sony xbr55x900c---0.1111111111111111
Predicted Answer:gpx tde3253b---0.2222222222222222
Predicted Answer:samsung un65h7150---0.2222222222222222
Predicted Answer:samsung un65ju7100---0.1111111111111111
Predicted Answer:vizio d50u-d1---0.4444444444444444
node11852831fcacad2210d88a1890c04faa.html
Right Answer:accessory_lg
Predicted Answer:samsung un55ju7100f---0.2
Predicted Answer:vizio d48-d0---0.06666666666666667
Predicted Answer:samsung un60eh6003---0.2
Predicted Answer:samsung un60ju7100---0.26666666666666666
Predicted Answer:sony xbr65x930c---0.13333333333333333
Predicted Answer:samsung un50ju7100---0.13333333333333333
Predicted Answer:sony xbr65x930d---0.13333333333333333
Predicted Answer:sony xbr65x950b---0.13333333333333333
Predicted Answer:vizio d43-c1---0.26666666666666666
Predicted Answer:samsung un55ju6500---0.13333333333333333
Predicted Answer:gpx te1384b---0.06666666666666667
Predicted Answer:sony xbr55x800b---0.06666666666666667
Predicted Answer:gpx tde1380b---0.06666666666666667
Predicted Answer:samsung un32eh5300---0.06666666666666667
Predicted Answer:samsung un40ju6400---0.13333333333333333
Predicted Answer:lg 43uf6400---0.26666666666666666
Predicted Answer:gpx tde1384b---0.06666666666666667
Predicted Answer:lg 55eg9100---0.26666666666666666
Predicted Answer:samsung un50eh5300---0.13333333333333333
Predicted Answer:samsung un65h6350---0.06666666666666667
Predicted Answer:samsung un50j5200a---0.06666666666666667
Predicted Answer:sony xbr65x800b---0.06666666666666667
Predicted Answer:samsung un60js7000---0.06666666666666667
Predicted Answer:samsung un55js8500f---0.13333333333333333
Predicted Answer:vizio d43-d2---0.06666666666666667
Predicted Answer:sony xbr65x900b---0.13333333333333333
Predicted Answer:sony xbr65x900c---0.2
Predicted Answer:samsung un48ju6400---0.13333333333333333
Predicted Answer:sony xbr65hx929---0.06666666666666667
Predicted Answer:sony xbr55x850d---0.06666666666666667
Predicted Answer:sony xbr55x850c---0.13333333333333333
Predicted Answer:samsung un55js9000f---0.06666666666666667
Predicted Answer:sony xbr55x850b---0.06666666666666667
Predicted Answer:samsung un60j6200a---0.06666666666666667
Predicted Answer:samsung un40es6100---0.13333333333333333
Predicted Answer:samsung un50j6300---0.06666666666666667
Predicted Answer:lg 55eg9600---0.26666666666666666
Predicted Answer:sony xbr79x900b---0.2
Predicted Answer:gpx tde1982b---0.2
Predicted Answer:lg 65eg9600---0.26666666666666666
Predicted Answer:sony xbr55x810c---0.06666666666666667
Predicted Answer:samsung un40ju6700---0.06666666666666667
Predicted Answer:samsung un50js7000---0.06666666666666667
Predicted Answer:sony xbr43x830c---0.2
Predicted Answer:samsung un55hu6840---0.13333333333333333
Predicted Answer:samsung un55j6200a---0.06666666666666667
Predicted Answer:samsung un40eh5300---0.13333333333333333
Predicted Answer:samsung un55hu8500---0.06666666666666667
Predicted Answer:sony xbr65x810c---0.06666666666666667
Predicted Answer:sony xbr65x850a---0.2
Predicted Answer:sony xbr49x830c---0.2
Predicted Answer:lg 49uf6400---0.3333333333333333
Predicted Answer:sony xbr65x850c---0.26666666666666666
Predicted Answer:sony xbr70x850b---0.06666666666666667
Predicted Answer:lg 40lf6300---0.13333333333333333
Predicted Answer:sony xbr55x900c---0.13333333333333333
Predicted Answer:gpx tde3253b---0.06666666666666667
Predicted Answer:samsung un65h7150---0.06666666666666667
Predicted Answer:samsung un65ju7100---0.13333333333333333
Predicted Answer:vizio d50u-d1---0.13333333333333333
node127d6a7dea594d7981a64e6ba118ea.html
Right Answer:accessory_vizio
